StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q101,Gender,Age,Ethnicity1,Ethnicity1_6_TEXT,Education,Familiar_1,Comfortable_1,Text Entry _1,Text Entry _2,Text Entry _3,Text Entry _4,Expression A: choice,Q80,Expression B: choice,Q82,Expression C: choice,Q83,Expression D: choice,Q84,Confidence: DOP,Confidence SOA,Fear DOP ,Fear DOS,Fear_NOP,Fear_NOR,Fear_SOA,Fear_SOR,Q79,Curious DOP,Curious DOT,Curious LAH,Curious LAV,Curious SOA,Curious SOT,Hesitant_DOP,Hesitant_DOR,Hesitant_DOT,Hesitant_NOR,Hesitant_SOA,Hesitant_SOR
2/10/2025 12:38,2/10/2025 12:53,100,903,TRUE,2/10/2025 12:53,R_4MokM8NoCaHBNcT,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,46,Indian,,Bachelor's degree or equivalent,Slightly Familiar,Moderately Comfortable,Confident ,Thinker or slow compare to A,Confused ,Hesitate ,Confidence,,Fear,,Hesitation,,Curiosity,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1979,Robot 2,Robot 2,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Both appear equally hesitant
2/10/2025 12:59,2/10/2025 13:19,100,1230,TRUE,2/10/2025 13:19,R_4Dx6KbvRMMGzaKl,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,28,Indian,,Master's degree or equivalent,Slightly Familiar,Very Comfortable,,,,,Curiosity,,Other,Cautious,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,1997,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Both appear equally curious,Robot 1,Robot 2,Both appear equally hesitant,Robot 2,Robot 2,Both appear equally hesitant
2/10/2025 13:35,2/10/2025 13:53,100,1080,TRUE,2/10/2025 13:53,R_4CTJI2JL6BLsoA9,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,59,Chinese,,Bachelor's degree or equivalent,Moderately Familiar,Very Comfortable,Confident ,Doubt,Shy,Fear,Confidence,,Hesitation,,Other,Shy,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 1,1966,Robot 2,Both appear equally curious,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1
2/10/2025 14:06,2/10/2025 14:17,100,664,TRUE,2/10/2025 14:17,R_41uLaMsiT089zMI,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,28,Indian,,Master's degree or equivalent,Moderately Familiar,Slightly Comfortable,,,,,Confidence,,Curiosity,,Fear,,Hesitation,,Robot 2,Robot 1,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 2,Both appear equally fearful,1996,Robot 1,Both appear equally curious,Both appear equally curious,Both appear equally curious,Robot 2,Robot 1,Both appears equally hesitant,Both appear equally hesitant,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Robot 2
2/10/2025 13:56,2/10/2025 14:22,100,1575,TRUE,2/10/2025 14:22,R_9e2q3Gl0bLpU5Al,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,28,Indian,,Doctorate or professional degree,Not Familiar,Not Comfortable,,,,,None,,None,,None,,None,,Both appear equally confident,Both appear equally confident,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,1987,Both appear equally curious,Both appear equally curious,Both appear equally curious,Both appear equally curious,Both appear equally curious,Both appear equally curious,Both appears equally hesitant,Both appear equally hesitant,Both appear equally hesitant,Both appear equally hesitant,Both appear equally hesitant,Both appear equally hesitant
2/10/2025 14:28,2/10/2025 14:39,100,652,TRUE,2/10/2025 14:39,R_8VykNx35iZYFkri,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,33,Indian,,Doctorate or professional degree,Slightly Familiar,Moderately Comfortable,,,,,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 1,1991,Robot 2,Robot 2,Robot 1,Robot 1,Robot 2,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
2/10/2025 13:57,2/10/2025 14:43,100,2805,TRUE,2/10/2025 14:43,R_4ewX3L6oqFqH2b7,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,29,Indian,,Bachelor's degree or equivalent,Moderately Familiar,Moderately Comfortable,Confident,Confused,Hesitant,Scared,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 1,1996,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally curious,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Both appear equally hesitant
2/10/2025 16:05,2/10/2025 16:13,100,523,TRUE,2/10/2025 16:13,R_9UBkZnHy0Oz89YR,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,29,Other,Kashmiri,Doctorate or professional degree,Extremely Familiar,Extremely Comfortable,Curious,Curious but hesitant ,Thinking ,Curious and afraid ,Curiosity,,Hesitation,,Confidence,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 1,96,Robot 2,Robot 2,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
2/10/2025 17:08,2/10/2025 17:16,100,485,TRUE,2/10/2025 17:16,R_4szACeiumStEFjK,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,27,Chinese,,Master's degree or equivalent,Very Familiar,Very Comfortable,Static,Cautious,Curious,Fearful,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1998,Robot 2,Robot 2,Robot 1,Both appear equally curious,Robot 1,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
2/10/2025 18:56,2/10/2025 19:49,100,3176,TRUE,2/10/2025 19:49,R_990QOgXIvhG9982,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,57,Indian,,Bachelor's degree or equivalent,Moderately Familiar,Slightly Comfortable,Hesitate ,Hesitate ,Confused,Fear,Hesitation,,Hesitation,,Fear,,Fear,,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 2,1968,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 2
2/10/2025 19:44,2/10/2025 19:52,100,449,TRUE,2/10/2025 19:52,R_42D4RXeSCbSZQ0i,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Chinese,,Bachelor's degree or equivalent,Slightly Familiar,Very Comfortable,blunt,hesitant,careful,afraid,Confidence,,Hesitation,,Other,Careful,Fear,,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Both appear equally fearful,1999,Both appear equally curious,Robot 2,Robot 2,Both appear equally curious,Robot 1,Both appear equally curious,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
2/10/2025 20:13,2/10/2025 20:24,100,635,TRUE,2/10/2025 20:24,R_90dHl91chn2KHiU,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Chinese,,Bachelor's degree or equivalent,Moderately Familiar,Moderately Comfortable,Clean,Slow,Fearful,Hesitant,Confidence,,Curiosity,,Fear,,Hesitation,,Robot 1,Robot 1,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,1999,Robot 2,Robot 2,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 1,Neither appears hesitant,Robot 2,Robot 1,Robot 2
2/10/2025 20:44,2/10/2025 22:16,100,5501,TRUE,2/10/2025 22:16,R_9FP3XCMZjstO4Bg,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Chinese,,Bachelor's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,Curiosity,,Hesitation,,Fear,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 2,Robot 1,1999,Robot 1,Robot 2,Robot 1,Robot 2,Robot 1,Robot 1,Both appears equally hesitant,Both appear equally hesitant,Robot 1,Robot 2,Both appear equally hesitant,Robot 2
3/10/2025 1:05,3/10/2025 1:11,100,334,TRUE,3/10/2025 1:11,R_9gkKoSXywWUm5c5,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,28,Indian,,Doctorate or professional degree,Slightly Familiar,Slightly Comfortable,Eager ,Normal,Tentative,Scared,Confidence,,Curiosity,,Hesitation,,Fear,,Both appear equally confident,Robot 1,Both appear equally fearful,Robot 1,Robot 2,Robot 2,Both appear equally fearful,Robot 2,1996,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 2,Both appear equally curious,Robot 1,Robot 2,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
3/10/2025 4:08,3/10/2025 4:22,100,829,TRUE,3/10/2025 4:22,R_2XnrWSb9hpNoG41,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,41,Other,European,High school degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1983,Robot 2,Robot 2,Robot 2,Robot 2,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1
3/10/2025 4:34,3/10/2025 4:51,100,1009,TRUE,3/10/2025 4:51,R_7GdxABCM6JlAF7H,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,37,Other,Caucasian,Bachelor's degree or equivalent,Slightly Familiar,Slightly Comfortable,Confident,Curious,Fearful,Hesitant,Confidence,,Curiosity,,Fear,,Hesitation,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Both appear equally fearful,Both appear equally fearful,1988,Robot 2,Robot 2,Robot 1,Both appear equally curious,Robot 1,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 2,Both appear equally hesitant,Both appear equally hesitant
3/10/2025 8:00,3/10/2025 8:10,100,619,TRUE,3/10/2025 8:10,R_4P787GeJXd0B8zd,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,32,Indian,,Master's degree or equivalent,Moderately Familiar,Very Comfortable,,,,,Confidence,,Hesitation,,Fear,,Curiosity,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Robot 2,Robot 2,Robot 1,1993,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Both appear equally hesitant,Both appear equally hesitant,Robot 1,Robot 1,Robot 1
3/10/2025 8:13,3/10/2025 8:27,100,802,TRUE,3/10/2025 8:27,R_9XPFyggLKz3YFNv,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,26,Chinese,,Bachelor's degree or equivalent,Moderately Familiar,Moderately Comfortable,Curious,Sly,Scared,Wary,Curiosity,,Other,Sly,Fear,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 1,1999,Robot 1,Robot 1,Both appear equally curious,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Both appear equally hesitant,Robot 1
3/10/2025 10:45,3/10/2025 10:59,100,809,TRUE,3/10/2025 10:59,R_4JF2sbSz6dxD84x,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Chinese,,Bachelor's degree or equivalent,Extremely Familiar,Extremely Comfortable,Neutral,amazed,"wary, curious","shocked,curious",Confidence,,Other,amazed,Fear,,Curiosity,,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1,Robot 2,Both appear equally fearful,Robot 2,1999,Robot 2,Robot 2,Robot 1,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1
3/10/2025 13:09,3/10/2025 13:17,100,485,TRUE,3/10/2025 13:17,R_9JJLLM9lCwY41me,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,25,Chinese,,Bachelor's degree or equivalent,Slightly Familiar,Slightly Comfortable,Confident,Weary,"Hesitant, careful","Take aback, nervous ",Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Neither appears fearful,Both appear equally fearful,Neither appears fearful,Robot 1,Robot 2,2000,Robot 1,Robot 2,Both appear equally curious,Robot 1,Robot 1,Both appear equally curious,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Robot 2
3/10/2025 13:58,3/10/2025 14:10,100,715,TRUE,3/10/2025 14:10,R_4XLG0zaQ3qsWtzP,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,31,Indian,,Master's degree or equivalent,Moderately Familiar,Moderately Comfortable,Calm,,Hesitation,Fear,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 2,Neither appears fearful,Robot 1,Robot 2,Robot 1,Robot 2,1994,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 2,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Both appear equally hesitant
3/10/2025 18:08,3/10/2025 18:23,100,882,TRUE,3/10/2025 18:23,R_8zLLGTq1AdbvYRQ,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,29,Indian,,Master's degree or equivalent,Not Familiar,Not Comfortable,confident,little clear,confused,confused,Confidence,,Hesitation,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Robot 2,Robot 1,Both appear equally fearful,1995,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally curious,Both appear equally curious,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
4/10/2025 18:36,4/10/2025 18:47,100,637,TRUE,4/10/2025 18:47,R_4Yy6qY3Q6jSQ1ko,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,52,Chinese,,Bachelor's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,Confidence,,Confidence,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 1,1973,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1
5/10/2025 14:29,5/10/2025 15:05,100,2131,TRUE,5/10/2025 15:05,R_9nkNIK6H1P3EqGh,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,61,Indian,,Doctorate or professional degree,Slightly Familiar,Slightly Comfortable,,,,,Confidence,,Curiosity,,Hesitation,,Fear,,Neither appears confident,Neither appears confident,Robot 1,Both appear equally fearful,Neither appears fearful,Robot 2,Both appear equally fearful,Both appear equally fearful,1965,Robot 1,Robot 1,Robot 1,Robot 1,Neither appears curious,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
