StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Q101,Gender,Age,Ethnicity1,Ethnicity1_6_TEXT,Education,Familiar_1,Comfortable_1,Text Entry _1,Text Entry _2,Text Entry _3,Text Entry _4,Expression A: choice,Q80,Expression A: scale ,Expression B: choice,Q82,Expression B: scale,Expression C: choice,Q83,Expression C: scale,Expression D: choice,Q84,Expression D: scale,Confidence: DOP,Confidence SOA,Fear DOP ,Fear DOS,Fear_NOP,Fear_NOR,Fear_SOA,Fear_SOR,Q79,,,Curious DOP,Curious DOT,Curious LAH,Curious LAV,Curious SOA,Curious SOT,Hesitant_DOP,Hesitant_DOR,Hesitant_DOT,Hesitant_NOR,Hesitant_SOA,Hesitant_SOR
2/10/2025 12:38,2/10/2025 12:53,100,903,TRUE,2/10/2025 12:53,R_4MokM8NoCaHBNcT,,,,,23.5159,87.307,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,46,Indian,,Bachelor's degree or equivalent,Slightly Familiar,Moderately Comfortable,Confident ,Thinker or slow compare to A,Confused ,Hesitate ,Confidence,,4,Fear,,3,Hesitation,,4,Curiosity,,3,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1979,47,1,Robot 2,Robot 2,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Both appear equally hesitant
2/10/2025 12:59,2/10/2025 13:19,100,1230,TRUE,2/10/2025 13:19,R_4Dx6KbvRMMGzaKl,,,,,28.4098,77.31,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,28,Indian,,Master's degree or equivalent,Slightly Familiar,Very Comfortable,,,,,Curiosity,,2,Other,Cautious,3,Hesitation,,2,Fear,,2,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,1997,29,1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Both appear equally curious,Robot 1,Robot 2,Both appear equally hesitant,Robot 2,Robot 2,Both appear equally hesitant
2/10/2025 13:35,2/10/2025 13:53,100,1080,TRUE,2/10/2025 13:53,R_4CTJI2JL6BLsoA9,,,,,1.3691,103.8863,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,59,Chinese,,Bachelor's degree or equivalent,Moderately Familiar,Very Comfortable,Confident ,Doubt,Shy,Fear,Confidence,,5,Hesitation,,4,Other,Shy,5,Fear,,4,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 1,1966,60,1,Robot 2,Both appear equally curious,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1
2/10/2025 14:06,2/10/2025 14:17,100,664,TRUE,2/10/2025 14:17,R_41uLaMsiT089zMI,,,,,28.6327,77.2198,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,28,Indian,,Master's degree or equivalent,Moderately Familiar,Slightly Comfortable,,,,,Confidence,,3,Curiosity,,3,Fear,,3,Hesitation,,3,Robot 2,Robot 1,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 2,Both appear equally fearful,1996,30,2,Robot 1,Both appear equally curious,Both appear equally curious,Both appear equally curious,Robot 2,Robot 1,Both appears equally hesitant,Both appear equally hesitant,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Robot 2
2/10/2025 13:56,2/10/2025 14:22,100,1575,TRUE,2/10/2025 14:22,R_9e2q3Gl0bLpU5Al,,,,,28.6327,77.2198,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,28,Indian,,Doctorate or professional degree,Not Familiar,Not Comfortable,,,,,None,,,None,,,None,,,None,,,Both appear equally confident,Both appear equally confident,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,1987,39,11,Both appear equally curious,Both appear equally curious,Both appear equally curious,Both appear equally curious,Both appear equally curious,Both appear equally curious,Both appears equally hesitant,Both appear equally hesitant,Both appear equally hesitant,Both appear equally hesitant,Both appear equally hesitant,Both appear equally hesitant
2/10/2025 14:28,2/10/2025 14:39,100,652,TRUE,2/10/2025 14:39,R_8VykNx35iZYFkri,,,,,63.8247,20.2559,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,33,Indian,,Doctorate or professional degree,Slightly Familiar,Moderately Comfortable,,,,,Confidence,,4,Curiosity,,3,Hesitation,,4,Fear,,4,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 1,1991,35,2,Robot 2,Robot 2,Robot 1,Robot 1,Robot 2,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
2/10/2025 13:57,2/10/2025 14:43,100,2805,TRUE,2/10/2025 14:43,R_4ewX3L6oqFqH2b7,,,,,28.6327,77.2198,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,29,Indian,,Bachelor's degree or equivalent,Moderately Familiar,Moderately Comfortable,Confident,Confused,Hesitant,Scared,Confidence,,4,Curiosity,,3,Hesitation,,4,Fear,,4,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 1,1996,30,1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally curious,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Both appear equally hesitant
2/10/2025 16:05,2/10/2025 16:13,100,523,TRUE,2/10/2025 16:13,R_9UBkZnHy0Oz89YR,,,,,22.2578,114.1657,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,29,Other,Kashmiri,Doctorate or professional degree,Extremely Familiar,Extremely Comfortable,Curious,Curious but hesitant ,Thinking ,Curious and afraid ,Curiosity,,3,Hesitation,,4,Confidence,,1,Fear,,1,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 1,96,1930,1901,Robot 2,Robot 2,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
2/10/2025 17:08,2/10/2025 17:16,100,485,TRUE,2/10/2025 17:16,R_4szACeiumStEFjK,,,,,1.3164,103.9232,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,27,Chinese,,Master's degree or equivalent,Very Familiar,Very Comfortable,Static,Cautious,Curious,Fearful,Confidence,,4,Curiosity,,5,Hesitation,,5,Fear,,5,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1998,28,1,Robot 2,Robot 2,Robot 1,Both appear equally curious,Robot 1,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
2/10/2025 18:56,2/10/2025 19:49,100,3176,TRUE,2/10/2025 19:49,R_990QOgXIvhG9982,,,,,28.5759,77.3345,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,57,Indian,,Bachelor's degree or equivalent,Moderately Familiar,Slightly Comfortable,Hesitate ,Hesitate ,Confused,Fear,Hesitation,,1,Hesitation,,2,Fear,,3,Fear,,4,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 2,1968,58,1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 2
2/10/2025 19:44,2/10/2025 19:52,100,449,TRUE,2/10/2025 19:52,R_42D4RXeSCbSZQ0i,,,,,1.2864,103.8503,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Chinese,,Bachelor's degree or equivalent,Slightly Familiar,Very Comfortable,blunt,hesitant,careful,afraid,Confidence,,5,Hesitation,,3,Other,Careful,,Fear,,5,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Both appear equally fearful,1999,27,1,Both appear equally curious,Robot 2,Robot 2,Both appear equally curious,Robot 1,Both appear equally curious,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
2/10/2025 20:13,2/10/2025 20:24,100,635,TRUE,2/10/2025 20:24,R_90dHl91chn2KHiU,,,,,1.2939,103.8461,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Chinese,,Bachelor's degree or equivalent,Moderately Familiar,Moderately Comfortable,Clean,Slow,Fearful,Hesitant,Confidence,,5,Curiosity,,3,Fear,,5,Hesitation,,5,Robot 1,Robot 1,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,1999,27,1,Robot 2,Robot 2,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 1,Neither appears hesitant,Robot 2,Robot 1,Robot 2
2/10/2025 20:44,2/10/2025 22:16,100,5501,TRUE,2/10/2025 22:16,R_9FP3XCMZjstO4Bg,,,,,1.3236,103.7909,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Chinese,,Bachelor's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,Curiosity,,2,Hesitation,,3,Fear,,4,Fear,,4,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 2,Robot 1,1999,27,1,Robot 1,Robot 2,Robot 1,Robot 2,Robot 1,Robot 1,Both appears equally hesitant,Both appear equally hesitant,Robot 1,Robot 2,Both appear equally hesitant,Robot 2
3/10/2025 1:05,3/10/2025 1:11,100,334,TRUE,3/10/2025 1:11,R_9gkKoSXywWUm5c5,,,,,28.6542,77.2373,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,28,Indian,,Doctorate or professional degree,Slightly Familiar,Slightly Comfortable,Eager ,Normal,Tentative,Scared,Confidence,,3,Curiosity,,3,Hesitation,,4,Fear,,4,Both appear equally confident,Robot 1,Both appear equally fearful,Robot 1,Robot 2,Robot 2,Both appear equally fearful,Robot 2,1996,30,2,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 2,Both appear equally curious,Robot 1,Robot 2,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
3/10/2025 4:08,3/10/2025 4:22,100,829,TRUE,3/10/2025 4:22,R_2XnrWSb9hpNoG41,,,,,43.847,10.5018,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,41,Other,European,High school degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,Confidence,,4,Curiosity,,3,Hesitation,,4,Fear,,3,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1983,43,2,Robot 2,Robot 2,Robot 2,Robot 2,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1
3/10/2025 4:34,3/10/2025 4:51,100,1009,TRUE,3/10/2025 4:51,R_7GdxABCM6JlAF7H,,,,,33.882,-80.404,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,37,Other,Caucasian,Bachelor's degree or equivalent,Slightly Familiar,Slightly Comfortable,Confident,Curious,Fearful,Hesitant,Confidence,,5,Curiosity,,5,Fear,,4,Hesitation,,4,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Both appear equally fearful,Both appear equally fearful,1988,38,1,Robot 2,Robot 2,Robot 1,Both appear equally curious,Robot 1,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 2,Both appear equally hesitant,Both appear equally hesitant
3/10/2025 8:00,3/10/2025 8:10,100,619,TRUE,3/10/2025 8:10,R_4P787GeJXd0B8zd,,,,,1.3254,103.7433,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,32,Indian,,Master's degree or equivalent,Moderately Familiar,Very Comfortable,,,,,Confidence,,4,Hesitation,,3,Fear,,3,Curiosity,,3,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Robot 2,Robot 2,Robot 1,1993,33,1,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Both appear equally hesitant,Both appear equally hesitant,Robot 1,Robot 1,Robot 1
3/10/2025 8:13,3/10/2025 8:27,100,802,TRUE,3/10/2025 8:27,R_9XPFyggLKz3YFNv,,,,,1.3596,103.8637,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,26,Chinese,,Bachelor's degree or equivalent,Moderately Familiar,Moderately Comfortable,Curious,Sly,Scared,Wary,Curiosity,,4,Other,Sly,4,Fear,,4,Fear,,3,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 1,1999,27,1,Robot 1,Robot 1,Both appear equally curious,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Both appear equally hesitant,Robot 1
3/10/2025 10:45,3/10/2025 10:59,100,809,TRUE,3/10/2025 10:59,R_4JF2sbSz6dxD84x,,,,,1.3216,103.8789,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Chinese,,Bachelor's degree or equivalent,Extremely Familiar,Extremely Comfortable,Neutral,amazed,"wary, curious","shocked,curious",Confidence,,5,Other,amazed,3,Fear,,3,Curiosity,,3,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1,Robot 2,Both appear equally fearful,Robot 2,1999,27,1,Robot 2,Robot 2,Robot 1,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1
3/10/2025 13:09,3/10/2025 13:17,100,485,TRUE,3/10/2025 13:17,R_9JJLLM9lCwY41me,,,,,3.1325,101.6922,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,25,Chinese,,Bachelor's degree or equivalent,Slightly Familiar,Slightly Comfortable,Confident,Weary,"Hesitant, careful","Take aback, nervous ",Confidence,,4,Curiosity,,3,Hesitation,,5,Fear,,5,Robot 1,Robot 1,Robot 1,Neither appears fearful,Both appear equally fearful,Neither appears fearful,Robot 1,Robot 2,2000,26,1,Robot 1,Robot 2,Both appear equally curious,Robot 1,Robot 1,Both appear equally curious,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Robot 2
